ID,App,Message,Corrective,Perfective,Adaptive
55,cgeo.geocaching,Fix #6523: Set file name of waypoint file,0,1,0
58,cgeo.geocaching,fix #6552 show debug log confirmation only in release build,0,1,0
59,cgeo.geocaching,Fix #6573: Parse GPX original coordinates as double valuesParsing the coordinates is not necessary because we already know theirformat in advance. Futhermore  directly parsing the coordinates asdouble values also support integer values  which would not be recognizedas valid latitude/longitude by the coordinate parser.,0,1,0
63,cgeo.geocaching,fix #6562 add .nomedia file to geocache data dir,0,0,1
64,cgeo.geocaching,fix #6552 confirm debug mode on startShowing a dialog on c:geo start when debug mode is active.  Explaining that this can cause instabilities and asking the user to return to normal mode.,0,1,0
65,cgeo.geocaching,fix #6560 fallback for gpx export directoryIt might happen  that the gpx export directory setting points to an outdated location e.g. from a device migration.If this directory is not available we use the default gpx directory as a fallback.,0,1,0
70,cgeo.geocaching,fix #6554 npe in localstorageI fixed a possible npe in FileUtils  too. Hope it s ok.,0,1,0
72,cgeo.geocaching,Revert WIP android-gradle plugin 2.5 changesThis reverts commit d2646956e7061709422909e835f77de549f42af6.,0,1,0
78,cgeo.geocaching,fix #5874 catch exception when calling locus,0,1,0
84,cgeo.geocaching,fix #6533 access global type filter in filter bar of cache list,0,1,0
86,cgeo.geocaching,fix #6510: sort trackables as sub menu,1,0,0
90,cgeo.geocaching,fix 6521 remove mapsforge_patches,0,1,0
104,cgeo.geocaching,removed unnecessary call to isExternalStorageAvailable,0,1,0
106,cgeo.geocaching,refactor: change from activity to context  where possibleThis seems to be necessary for upgrading appcompat  since I experiencedmore occurrences of ContextWrapper instead of Activity instances therewhen doing some initial testing.,0,1,0
111,cgeo.geocaching,Use directory instead of diras proposed by @UniQP on Crowdin.,0,1,0
114,cgeo.geocaching,lint: remove unused resources preference no longer used layout resource was never used,0,1,0
116,cgeo.geocaching,remove Ant and Sonarqube settings Ant not usable for building anymore Sonarqube only used by Bananeweizen for some evaluation,0,1,0
117,cgeo.geocaching,Do not attempt to parse a null response streamThis catches the error early and gives a better error message. Also some log messages and severities have been fixed.Noticed in issue #6464.,0,1,0
120,cgeo.geocaching,Parse all coordinate formats from personal notes,0,1,0
122,cgeo.geocaching,Fix codacy issues: Move fields to begin of class,0,1,0
131,cgeo.geocaching,improve handling of external storage and fallback #6481- logging clarified- caching of externalPublicCgeoDirectory- backup fallback on internal storage,0,1,0
140,cgeo.geocaching,fix #6469: support widescreen devices,0,1,0
144,cgeo.geocaching,remove library sources from repositoryThey can be re-created locally by running  gradlew downloadLibs ,0,1,0
156,cgeo.geocaching,Remove downloadable libraries from the repository,0,1,0
159,cgeo.geocaching,Burn in version code for bugfix release,0,1,0
163,cgeo.geocaching,fix #6450  #6451 handling of missing sd cardThere was already a fallback to the emulated sdcard and internal storage  but there was a null check missing.,0,1,0
173,cgeo.geocaching,refactoring: use stripHtml instead of fromHtml.toString,0,1,0
175,cgeo.geocaching,Raising version code for calendar-plugin,0,1,0
181,cgeo.geocaching,remove showcaseview from eclipse project,0,1,0
184,cgeo.geocaching,make checkstyle accept all line endingsOtherwise it complains on Windows about Linux line endings and viceversa.,0,1,0
197,cgeo.geocaching,An empty page returned by the server is not an application error,0,1,0
200,cgeo.geocaching,Remove superfluous groupCount checksgroupCount depends on the pattern  but not on the match.Thus  we know the result in advance in most cases.,0,1,0
203,cgeo.geocaching,upgrade gradle to 3.4.1  regenerate wrapper,0,1,0
205,cgeo.geocaching,disable static method proposal in EclipseOver time  making methods static has been one of the bigger problems inour projects at work  since this led to lots of utility classes with badtesting. Let s disable static method proposals here  too.,0,1,0
206,cgeo.geocaching,disable checkstyle check of final modifierThis is plain wrong. Having final modifiers at arguments forbids tooverwrite them inside the method  and I want that policy to be enforced.,0,1,0
207,cgeo.geocaching,restore Eclipse checkstyle settings,0,1,0
213,cgeo.geocaching,fix #6368 export coords in raw format,0,1,0
217,cgeo.geocaching,Fix #6379: Fail to open GK from link,0,1,0
228,cgeo.geocaching,Fix #6337: Geokret inventory stay emptyRelated to b930a5d ,0,1,0
230,cgeo.geocaching,Fix #6333: Override cache IDIf the cache is already stored on the device  we need to override thecache ID.,0,1,0
232,cgeo.geocaching,fixed the cache directory pattern,0,1,0
238,cgeo.geocaching,fixed apostrophe in release changelog,0,1,0
245,cgeo.geocaching,Update URL in README fileopencaching.org.uk redirects to opencache.uk.,0,1,0
247,cgeo.geocaching,avoid null pointer in coordinates dialog,0,1,0
267,cgeo.geocaching,fix #6273 crash on empty log text in debug log mode,0,1,0
268,cgeo.geocaching,fix #6189 store with preselection on long press,0,1,0
271,cgeo.geocaching,refactoring: separate default hardware acceleration logic,0,1,0
278,cgeo.geocaching,fix #6256 refresh list at pos 0,0,1,0
282,cgeo.geocaching,fix #6249 history jumps to top when returning from CacheDetails,0,1,0
293,cgeo.geocaching,remove process-phoenix and leakcanary from EclipseIn contrast to some other Android libraries  these don t have additionalresources and can be consumed as plain jars.,0,1,0
305,cgeo.geocaching,removed maps actionbar: obsolete on v14,0,1,0
309,cgeo.geocaching,Improve live map warning string,0,1,0
312,cgeo.geocaching,Prepare changlog for next bugfix release,0,1,0
318,cgeo.geocaching,Build: Remove undefined propertiesKey properties not defined in private.properties were not replaced inkeys.xml during setup. Thus the build failed because of malformedresource identifyer.,0,1,0
321,cgeo.geocaching,fix gradle build for last 2 commits,0,1,0
323,cgeo.geocaching,remove wrong dependency to mapsforge inner class from calendar,0,1,0
324,cgeo.geocaching,upgrade to gradle 3.2.1removed deprecated left shift operator for tasks from build scripts,0,1,0
325,cgeo.geocaching,upgrade android gradle pluginThis is recommended to have the recent Android Studio version and the plugin stay in sync.,0,1,0
338,cgeo.geocaching,Create ArrayList objects with the right capacity,0,1,0
340,cgeo.geocaching,fix #6014: export field notes for all websites,0,1,0
346,cgeo.geocaching,replace conditional close by IOUtils.closeQuietly,0,1,0
347,cgeo.geocaching,Do not let uncaught OkHttp exceptions crash the applicationThe OkHttp exceptions thrown in background threads are now interceptedby an UncaughtExceptionHandler.Also  this handler checks the debug settings dynamically rather thaninstalling or uninstalling itself when they are toggled.This is part of the fix for #6114.,0,1,0
349,cgeo.geocaching,remove potentially static warningThis seems to be one of the differences between IDEA and Eclipse.,0,1,0
354,cgeo.geocaching,fix #6133: load relative URL images from Okapi API,0,0,0
356,cgeo.geocaching,fix #6130: log entries stream is closed too early,0,1,0
360,cgeo.geocaching,fix #6113: trackable log page not working,0,1,0
